task,capacity,signal,lead_at_far=0.1,ci_lo,ci_hi,n_pos,n_neg
metaworld_sweep-into-v2,full_rm,R_hat,nan,nan,nan,2,2
metaworld_sweep-into-v2,full_rm,kappa,23,23,23,2,2
metaworld_sweep-into-v2,full_rm,proxy_inflection,nan,nan,nan,2,2
metaworld_sweep-into-v2,full_rm,kl_to_pretrain,15,13,25,2,2
metaworld_sweep-into-v2,full_rm,entropy_drop,nan,nan,nan,2,2
metaworld_sweep-into-v2,full_rm,ensemble_var,nan,nan,nan,2,2
