method,seed,round,labels,true_return,regret,gradient_cosine,directional_gradient_bias,posterior_directional_variance,rm_error_full_centered,rm_error_policy_centered,proxy_grad_norm,true_grad_norm,phi_goal,phi_trap,phi_side,phi_step,beta,l2
on_policy_random,0,0,10,-0.16462568661612756,1.0446256866161276,0.6353143635138648,0.6503526608321251,0.501007473876007,0.6577456284916441,1.722016020355417,0.6770499197981736,0.042022124005489936,0.0,-5.2451433456683665,0.5691540341819082,0.0,3.0,0.001
on_policy_random,0,1,20,-0.15030368181982368,1.0303036818198237,0.5987420437901844,0.6949248344609756,0.2574644271997354,0.7104647356675161,1.7241967350159972,0.7134327606965566,0.030911352271875258,0.0,-5.612341726783459,0.6138309869193761,0.0,3.0,0.001
on_policy_random,0,2,30,-0.14311381264010423,1.0231138126401043,0.8487189328350768,0.28993871676068095,0.17544648126800225,0.6000775030340142,1.2257629343154384,0.31073576862170554,0.024504050818748343,-0.8472855625439993,-5.9004151712895405,0.16246175754364198,0.0,3.0,0.001
on_policy_random,0,3,40,-0.13931208426191954,1.0193120842619194,0.8437004041293161,0.1986033922780036,0.05121252896834586,0.5417078486122117,0.9519759518761068,0.2163039283348362,0.020979646294112222,5.897352802900585,-5.528015347745247,0.12705994512134616,0.0,3.0,0.001
on_policy_random,0,4,50,-0.1368646247486765,1.0168646247486766,0.9964686552516114,0.119351519546632,0.04598545778421657,0.5388615486253923,0.8534297440076063,0.1379050972173543,0.018619328940193785,5.602838912320673,-5.587114472412727,0.008976234358921855,0.0,3.0,0.001
on_policy_random,0,5,60,-0.13489482749704765,1.0148948274970477,0.997340072550835,0.10882834799935279,0.03500425901418025,0.5673782569618852,0.8480731634303446,0.12547795189287145,0.016694008745617744,5.805722630570335,-5.841598755262104,-0.008088078731586184,0.0,3.0,0.001
on_policy_random,0,6,70,-0.1332199593962878,1.0132199593962878,0.9934847975934613,0.10492719044391988,0.03022298826646379,0.5689590898597,0.8116519289901182,0.11987655437933643,0.015047400797303295,5.2052327110548235,-5.882353640486115,0.008946146578134818,0.0,3.0,0.001
on_policy_random,0,7,80,-0.13177815527704617,1.0117781552770462,0.9371000783282667,0.10921247854637309,0.0242330569379746,0.5675862898002492,0.7814471744914705,0.12198193816817991,0.013626569794537656,5.275737633590559,-5.860936146181317,0.043565406121386104,0.0,3.0,0.001
on_policy_random,0,8,90,-0.13060447422463373,1.0106044742246336,0.9525970914240505,0.096406899957488,0.020645094463832663,0.5687178140109462,0.746203786512613,0.10827668279598845,0.012460444132530514,5.2617194756322,-5.874916225816283,0.0329823869079367,0.0,3.0,0.001
on_policy_random,0,9,100,-0.13032572790756788,1.010325727907568,0.9753888148260053,0.016468113882359935,0.0011297330168920598,0.08945750786486399,0.12093959722007859,0.028348963952475825,0.012180629805802373,0.9050204579587107,-1.5884051017593501,0.004171134269146323,0.0,3.0,0.001
on_policy_random,0,10,110,-0.13011372196621723,1.0101137219662173,0.6065368190848172,0.028392002645069622,0.003178596299559669,0.09818967546010475,0.13011352164243725,0.0356487066965691,0.011964160827777737,0.8593173106474307,-1.6374609645412055,-0.031335815237558795,0.0,3.0,0.001
on_policy_random,0,11,120,-0.12995990993369527,1.0099599099336953,0.2511563890883065,0.062104472012121076,0.004927717189904814,0.11351388738085945,0.1665029516941918,0.06506900208685287,0.01180352244071108,0.8133185428452556,-1.6894953937084007,-0.06792576040070021,0.0,3.0,0.001
on_policy_random,0,12,130,-0.12979733088778336,1.0097973308877835,0.23396480148030024,0.07267210384642943,0.0045407352428568646,0.13097306422332244,0.1906491751957037,0.07539427213061639,0.011634947936457727,0.936521596963801,-1.8385656809878175,-0.07748135290298654,0.0,3.0,0.001
on_policy_random,0,13,140,-0.12964558253045716,1.009645582530457,0.19228337079716423,0.08620318799800347,0.004705928646727498,0.1367302689285849,0.20696464496436434,0.0884102130404037,0.011477981862135897,0.9181093147687512,-1.8529376769381491,-0.08967506935598092,0.0,3.0,0.001
on_policy_random,0,14,150,-0.12945021721358457,1.0094502172135846,0.37998175068640005,0.05203146677530676,0.003592067118000989,0.1209272558536396,0.16367806080497102,0.05631851617250198,0.011282250764546097,0.9735054940649398,-1.810839759468117,-0.05336541521308368,0.0,3.0,0.001
on_policy_random,0,15,160,-0.12921504637025977,1.0092150463702598,0.6752954930335547,0.030862884626798377,0.0020318553572120602,0.1290734898001248,0.16105000993612298,0.03832515392171765,0.011050376275128603,1.163404449210167,-1.9354010965299768,-0.028867198736618124,0.0,3.0,0.001
on_policy_random,0,16,170,-0.12901037705733637,1.0090103770573364,0.3813788696212312,0.05700951468466712,0.0034287261561350424,0.1386358115597315,0.18233463042717307,0.06114684964370704,0.010848359174038534,1.129491155780822,-1.9759752032115734,-0.05668257254702474,0.0,3.0,0.001
